구분,대여소번호,대여소명,대여소 주소,거치대수,위도,경도
강북구,1506, 강북문화예술회관,서울특별시 강북구 삼각산로 85,20,37.640327,127.013359
강북구,1509, 서울북부수도사업소,서울특별시 강북구 한천로 935,10,37.634377,127.035751
강북구,1510, 번동주공5단지 관리사무소 앞,서울특별시 강북구 오현로25마길 27,10,37.633717,127.035515
강북구,1511, 번동 금호어울림아파트102동앞,서울특별시 강북구 오현로31길 85-7,9,37.631123,127.036034
강북구,1512, 강북중학교 앞,서울특별시 강북구 한천로150길 67,20,37.644737,127.026566
강북구,1513, 강북구청 뒷편,서울특별시 강북구 도봉로89길 13,20,37.639648,127.025124
강북구,1514, 강북구청 사거리 버스정류소 앞,서울특별시 강북구 한천로 1009,10,37.638805,127.028358
강북구,1515, 송천동 주민센터,서울특별시 강북구 솔샘로 284,10,37.618286,127.024048
강북구,1516, 우이초등학교 후문 옆,서울특별시 강북구 삼양로99길 33,10,37.638706,127.015907
강북구,1518, SK telecom(수유직영점) 앞,서울특별시 강북구 삼양로 439,10,37.643085,127.016167
강북구,1519, 세븐일레븐 수유장미원점 앞,서울특별시 강북구 삼양로 474,10,37.645451,127.015617
강북구,1520, 성실교회,서울특별시 강북구 노해로 50,10,37.639862,127.022789
강북구,1522, 월드전기조명인테리어(우이동),서울특별시 도봉구 삼양로 574,10,37.654472,127.012756
강북구,1525, 미아동 복합청사,서울특별시 강북구 솔매로49길 14,10,37.62714,127.026695
강북구,1526, 수유동 채선당앞,서울특별시 강북구 수유동 140,8,37.641739,127.024628
강북구,1527, 미아역 1번 출구 뒤,서울특별시 강북구 미아동 194-1,10,37.627335,127.026054
강북구,1528, 삼각산동 주민센터,서울특별시 미아동 813-8,10,37.615036,127.020699
강북구,1529, 미아동 한국전력공사,서울특별시 미아동 194-1,15,37.63018,127.02491
강북구,1530, 광산사거리,서울특별시 강북구 노해로 87 ,10,37.643551,127.022346
강북구,1531, 미아사거리 1번 출구,서울특별시 강북구 미아동 66-1,10,37.613956,127.030251
강북구,1532, 번3동 주민센터 교차로,서울특별시 강북구 번동 2-2,10,37.626354,127.047447
강북구,1533,번동 주공3 4단지 교차로,서울특별시 강북구 번동 254,10,37.629917,127.040916
강북구,1534, 북서울 꿈의 숲 동문,서울특별시 강북구 번동 105,20,37.619637,127.044533
강북구,1535, 효성인텔리안 앞,서울특별시 수유동 230-7,10,37.636292,127.023376
강북구,1536, 번동 두산위브 101동 옆,서울특별시 번동 386-17,20,37.636261,127.032173
강북구,1538, 솔밭공원역,서울특별시 강북구 삼양로 595,8,37.656158,127.013138
강북구,1539, 4.19민주묘지역,서울특별시 강북구 삼양로 519,10,37.649673,127.013451
강북구,1541, 삼양역,서울특별시 강북구 삼양로 263,10,37.62653,127.018059
강서구,1101, 개화동상사마을종점 버스정류장,서울특별시 강서구 개화동로5길 3-8,10,37.581612,126.798599
강서구,1102, 방화사거리 마을버스 버스정류장,서울특별시 강서구 양천로17길 6,10,37.573643,126.811806
강서구,1103, 방화역 4번출구앞,서울특별시 강서구 금낭화로 135,10,37.577221,126.812195
강서구,1105, 방화근린공원,서울특별시 강서구 금낭화로 176,10,37.582447,126.812035
강서구,1106, 신방화사거리,서울특별시 강서구 방화대로 342,10,37.573032,126.816452
강서구,1108, 공항시장역 1번출구,서울특별시 강서구 방화동로 지하 30,8,37.56356,126.81015
강서구,1109, 공항시장역 4번출구,서울특별시 강서구 방화동로 지하 30,6,37.563347,126.810486
강서구,1110, 공항중학교앞,서울특별시 강서구 방화대로 241,10,37.562683,126.816238
강서구,1111, 마곡엠밸리6_7단지 마곡중학교,서울특별시 강서구 마곡중앙5로 58,15,37.566982,126.8218
강서구,1112, 마곡엠밸리4단지 정문,서울특별시 강서구 마곡서로 175,15,37.568577,126.824776
강서구,1113, 서남환경공원 버스정류장,서울특별시 강서구 양천로 201,15,37.573093,126.822899
강서구,1114, 서남물재생센터 버스정류장,서울특별시 강서구 양천로 200,15,37.572781,126.826279
강서구,1115, 등촌역 1번출구옆,서울특별시 강서구 공항대로59길 8,10,37.551666,126.86409
강서구,1117, 스타벅스앞,서울특별시 강서구 공항대로 329,10,37.558197,126.844261
